date,exdate,cp_flag,strike_price,best_bid,best_offer,exercise_style
20201201,20201218,C,25000,340.74,341.2,A
20201201,20201218,C,50000,315.75,316.21,A
20201201,20201218,C,75000,290.75,291.21,A
20201201,20201218,C,80000,285.75,286.21,A
20201201,20201218,C,85000,280.75,281.21,A
20201201,20201218,C,90000,275.76,276.21,A
20201201,20201218,C,95000,270.76,271.21,A
20201201,20201218,C,100000,265.76,266.21,A
20201201,20201218,C,105000,260.76,261.22,A
20201201,20201218,C,110000,255.76,256.22,A
20201201,20201218,C,115000,250.76,251.22,A
20201201,20201218,C,120000,245.76,246.22,A
20201201,20201218,C,125000,240.76,241.22,A
20201201,20201218,C,130000,235.77,236.22,A
20201201,20201218,C,135000,230.77,231.22,A
20201201,20201218,C,140000,225.76,226.22,A
20201201,20201218,C,145000,220.76,221.22,A
20201201,20201218,C,150000,215.77,216.22,A
20201201,20201218,C,155000,210.77,211.23,A
20201201,20201218,C,160000,205.77,206.23,A
20201201,20201218,C,165000,200.77,201.23,A
20201201,20201218,C,170000,195.77,196.23,A
20201201,20201218,C,175000,190.78,191.23,A
20201201,20201218,C,180000,185.78,186.23,A
20201201,20201218,C,185000,180.78,181.24,A
20201201,20201218,C,190000,175.78,176.24,A
20201201,20201218,C,195000,170.79,171.24,A
20201201,20201218,C,196000,169.79,170.24,A
20201201,20201218,C,197000,168.79,169.24,A
20201201,20201218,C,198000,167.79,168.24,A
20201201,20201218,C,199000,166.79,167.24,A
20201201,20201218,C,200000,165.79,166.25,A
20201201,20201218,C,201000,164.79,165.25,A
20201201,20201218,C,202000,163.79,164.25,A
20201201,20201218,C,203000,162.79,163.25,A
20201201,20201218,C,204000,161.79,162.25,A
20201201,20201218,C,205000,160.79,161.25,A
20201201,20201218,C,206000,159.79,160.25,A
20201201,20201218,C,207000,158.79,159.25,A
20201201,20201218,C,208000,157.79,158.25,A
20201201,20201218,C,209000,156.79,157.25,A
20201201,20201218,C,210000,155.79,156.25,A
20201201,20201218,C,211000,154.79,155.25,A
20201201,20201218,C,212000,153.8,154.25,A
20201201,20201218,C,213000,152.8,153.25,A
20201201,20201218,C,214000,151.8,152.25,A
20201201,20201218,C,215000,150.8,151.25,A
20201201,20201218,C,216000,149.8,150.25,A
20201201,20201218,C,217000,148.8,149.25,A
20201201,20201218,C,218000,147.8,148.26,A
20201201,20201218,C,219000,146.8,147.26,A
20201201,20201218,C,220000,145.8,146.26,A
20201201,20201218,C,221000,144.8,145.26,A
20201201,20201218,C,222000,143.8,144.26,A
20201201,20201218,C,223000,142.8,143.26,A
20201201,20201218,C,224000,141.81,142.26,A
20201201,20201218,C,225000,140.81,141.26,A
20201201,20201218,C,226000,139.81,140.26,A
20201201,20201218,C,227000,138.81,139.26,A
20201201,20201218,C,228000,137.81,138.26,A
20201201,20201218,C,229000,136.81,137.26,A
20201201,20201218,C,230000,135.81,136.27,A
20201201,20201218,C,231000,134.81,135.27,A
20201201,20201218,C,232000,133.81,134.27,A
20201201,20201218,C,233000,132.81,133.27,A
20201201,20201218,C,234000,131.81,132.27,A
20201201,20201218,C,235000,130.81,131.27,A
20201201,20201218,C,236000,129.82,130.27,A
20201201,20201218,C,237000,128.82,129.27,A
20201201,20201218,C,238000,127.82,128.17,A
20201201,20201218,C,239000,126.82,127.27,A
20201201,20201218,C,240000,125.82,126.19,A
20201201,20201218,C,241000,124.82,125.18,A
20201201,20201218,C,242000,123.82,124.19,A
20201201,20201218,C,243000,122.82,123.19,A
20201201,20201218,C,244000,121.82,122.19,A
20201201,20201218,C,245000,120.82,121.19,A
20201201,20201218,C,246000,119.83,120.19,A
20201201,20201218,C,247000,118.83,119.28,A
20201201,20201218,C,248000,117.83,118.2,A
20201201,20201218,C,249000,116.83,117.28,A
20201201,20201218,C,250000,115.83,116.19,A
20201201,20201218,C,251000,114.83,115.29,A
20201201,20201218,C,252000,113.83,114.2,A
20201201,20201218,C,253000,112.84,113.2,A
20201201,20201218,C,254000,111.84,112.2,A
20201201,20201218,C,255000,110.84,111.2,A
20201201,20201218,C,256000,109.84,110.19,A
20201201,20201218,C,257000,108.84,109.21,A
20201201,20201218,C,258000,107.84,108.21,A
20201201,20201218,C,259000,106.84,107.21,A
20201201,20201218,C,260000,105.84,106.21,A
20201201,20201218,C,261000,104.85,105.21,A
20201201,20201218,C,262000,103.85,104.23,A
20201201,20201218,C,263000,102.85,103.22,A
20201201,20201218,C,264000,101.85,102.21,A
20201201,20201218,C,265000,100.85,101.22,A
20201201,20201218,C,266000,99.86,100.22,A
20201201,20201218,C,267000,98.86,99.22,A
20201201,20201218,C,268000,97.86,98.22,A
20201201,20201218,C,269000,96.86,97.23,A
20201201,20201218,C,270000,95.86,96.23,A
20201201,20201218,C,271000,94.86,95.23,A
20201201,20201218,C,272000,93.87,94.23,A
20201201,20201218,C,273000,92.87,93.23,A
20201201,20201218,C,274000,91.87,92.22,A
20201201,20201218,C,275000,90.87,91.24,A
20201201,20201218,C,276000,89.87,90.24,A
20201201,20201218,C,277000,88.88,89.24,A
20201201,20201218,C,278000,87.88,88.22,A
20201201,20201218,C,279000,86.88,87.25,A
20201201,20201218,C,280000,85.88,86.25,A
20201201,20201218,C,281000,84.89,85.25,A
20201201,20201218,C,282000,83.89,84.25,A
20201201,20201218,C,283000,82.89,83.25,A
20201201,20201218,C,284000,81.89,82.25,A
20201201,20201218,C,285000,80.9,81.26,A
20201201,20201218,C,286000,79.9,80.26,A
20201201,20201218,C,287000,78.9,79.26,A
20201201,20201218,C,288000,77.91,78.27,A
20201201,20201218,C,289000,76.91,77.28,A
20201201,20201218,C,290000,75.91,76.26,A
20201201,20201218,C,291000,74.92,75.28,A
20201201,20201218,C,292000,73.92,74.28,A
20201201,20201218,C,293000,72.92,73.27,A
20201201,20201218,C,294000,71.93,72.28,A
20201201,20201218,C,295000,70.93,71.28,A
20201201,20201218,C,296000,69.94,70.3,A
20201201,20201218,C,297000,68.94,69.31,A
20201201,20201218,C,298000,67.95,68.31,A
20201201,20201218,C,299000,66.95,67.31,A
20201201,20201218,C,300000,65.96,66.32,A
20201201,20201218,C,301000,64.96,65.32,A
20201201,20201218,C,302000,63.97,64.33,A
20201201,20201218,C,303000,62.97,63.33,A
20201201,20201218,C,304000,61.98,62.32,A
20201201,20201218,C,305000,60.99,61.35,A
20201201,20201218,C,306000,59.99,60.35,A
20201201,20201218,C,307000,59.0,59.36,A
20201201,20201218,C,308000,58.01,58.37,A
20201201,20201218,C,309000,57.01,57.38,A
20201201,20201218,C,310000,56.02,56.39,A
20201201,20201218,C,311000,55.03,55.39,A
20201201,20201218,C,312000,54.04,54.4,A
20201201,20201218,C,313000,53.05,53.41,A
20201201,20201218,C,314000,52.06,52.42,A
20201201,20201218,C,315000,51.07,51.43,A
20201201,20201218,C,316000,50.08,50.43,A
20201201,20201218,C,317000,49.09,49.45,A
20201201,20201218,C,318000,48.08,48.43,A
20201201,20201218,C,319000,47.1,47.45,A
20201201,20201218,C,320000,46.1,46.46,A
20201201,20201218,C,321000,45.11,45.47,A
20201201,20201218,C,322000,44.13,44.49,A
20201201,20201218,C,323000,43.15,43.49,A
20201201,20201218,C,324000,42.16,42.52,A
20201201,20201218,C,325000,41.2,41.54,A
20201201,20201218,C,326000,40.2,40.56,A
20201201,20201218,C,327000,39.24,39.58,A
20201201,20201218,C,328000,38.24,38.63,A
20201201,20201218,C,329000,37.28,37.62,A
20201201,20201218,C,330000,36.32,36.65,A
20201201,20201218,C,331000,35.37,35.68,A
20201201,20201218,C,332000,34.39,34.71,A
20201201,20201218,C,333000,33.39,33.74,A
20201201,20201218,C,334000,32.42,32.78,A
20201201,20201218,C,335000,31.47,31.8,A
20201201,20201218,C,336000,30.51,30.85,A
20201201,20201218,C,337000,29.55,29.89,A
20201201,20201218,C,338000,28.62,28.96,A
20201201,20201218,C,339000,27.65,28.0,A
20201201,20201218,C,340000,26.72,27.08,A
20201201,20201218,C,341000,25.77,26.06,A
20201201,20201218,C,342000,24.82,25.17,A
20201201,20201218,C,343000,23.93,24.13,A
