date,days,rate
20201201,7,0.10228
20201201,13,0.114128
20201201,49,0.21648
20201201,77,0.220707
20201201,104,0.219996
20201201,139,0.218208
20201201,167,0.216468
20201201,195,0.215228
20201201,286,0.212862
20201201,377,0.214085
20201201,468,0.222713
20201201,559,0.227707
20201201,657,0.233805
20201201,748,0.240502
20201201,832,0.250499
20201201,930,0.260945
20201201,1021,0.273815
20201201,1112,0.290795
20201201,1203,0.309802
20201201,1294,0.330408
20201201,1385,0.352297
20201201,1476,0.375854
20201201,1567,0.40079
20201201,1658,0.426597
20201201,1749,0.453404
20201201,1840,0.48106
20201201,1931,0.509446
20201201,2022,0.537779
20201201,2113,0.566284
20201201,2204,0.595148
20201201,2295,0.624127
20201201,2386,0.652438
20201201,2477,0.680153
20201201,2568,0.707515
20201201,2659,0.734387
20201201,2757,0.762231
20201201,2848,0.787185
20201201,2939,0.811376
20201201,3030,0.834871
20201201,3121,0.857144
20201201,3212,0.878441
20201201,3303,0.898843
20201201,3394,0.918827
20201201,3485,0.938031
20201201,3576,0.956515
